wp連載番号(term_id),連載名,slug,親連載,公開記事数,現行の担当(著者番号),現行の担当(名前),新システムで作る(記入),ヨミガナ(記入・任意),連載画像(記入・任意),メモ
9,かきぬまめがね＠東京,kakinumamegane-tokyo,（親なし）,806,7,かきぬまあやの,,,,
8,わたしのレシーヘン,watashinoreshihen,（親なし）,758,2,sakipomco(SAKIさん本人),,,,現758件のうちID282(¥2,000 お雑煮材料費)は重複のため移行しない→移行後は757件＝すべてSAKIさん本人
7,1/10957,1-10957,（親なし）,747,3,saico34,,,,
12,風早草子,kazehayasoushi,（親なし）,733,6,海秋紗,,,,
13,P.S.,ps,（親なし）,640,8,田畠隆志,,,,
14,ご機嫌な毎日,gokigennamainichi,（親なし）,585,9,emi,,,,
6,Sophy's philosophy,sophys_philosophy,（親なし）,481,10,sophy,,,,
15,悩みのタネに水をまく,nayatane,（親なし）,468,12,ぐっさん,,,,ぐっさんの連載。326件(番号12)＋142件(番号1→ぐっさんへ統合)＝468件
33,島縞,shimashima,（親なし）,389,13,ひらのあすみ,,,,
187,CAL TATAU,cal-tatau,（親なし）,377,23/22,Luis／Vanessa,,,,担当2名（ともにスペイン語話者）。377件＝Luis239件(238＋番号1のHijos1件)＋Vanessa138件
59,とこのとびら,toconotobira,（親なし）,369,16,とこ,,,,
102,王様の耳は,oosamanomimiwa,（親なし）,327,17,ふかやまゆみこ,,,,
58,雨のち晴れ,amenochihare,（親なし）,311,15,ツツイユカ,,,,
159,浮記,uki,（親なし）,239,21,migiwa,,,,
10,のちの野良,nochinonora,（親なし）,224,4,ぴんぽいんと,,,,
205,もしもし五島列島,moshimoshigoto,（親なし）,218,24,中村千結,,,,
137,エフェメラ！,ephemera,（親なし）,169,20/19,ほしばあさみ／迎亮太,,,,担当2名。115件(ほしばあさみ)＋54件(迎亮太)
34,Seize the day,seiszetheday,（親なし）,149,14,クロウタドリ,作る,,,担当クロウタドリは現在 休止中。記事149件は移行する（連載・アカウントとも残す）
227,山陰編,sanin2026,度々の旅(226),8,25,minowanaoko,作る,,,親「度々の旅」の子連載（旅シリーズの1編目）
126,店主よりお知らせ,oshirase,（親なし）,1,18,店主,作る,,,カテゴリーとして作る（SAKIさん確定）。中身の1件はID12729「POP UP 店舗募集！」＝aboutページのPOP UP募集リンク先（項目37TODO）。移行後にaboutのリンクをこの記事へ向ける
226,度々の旅,tabitabinotabi,（親なし＝親側）,0,—,（記事なし・親の器）,作る,,,親連載として作る。今後この旅シリーズを増やす前提＝子に「山陰編」など各旅編を足していく。親自体は記事なしの器
1,未分類,uncategorized,（親なし）,0,—,—,作らない,,,記事ゼロ。新システムは未分類を作らない方針
